Position,PlayerName,Team,Opponent,Salary,PPG
FLEX,Zach Sudfeld,Patriots,Falcons,5000,0.0
WR,Harry Douglas,Falcons,Patriots,5750,7.2
FLEX,Harry Douglas,Falcons,Patriots,5750,7.2
WR,Julio Jones,Falcons,Patriots,17400,25.0
FLEX,Julio Jones,Falcons,Patriots,17400,25.0
WR,Roddy White,Falcons,Patriots,7600,4.2
FLEX,Roddy White,Falcons,Patriots,7600,4.2
WR,Stevie Johnson,Bills,Ravens,11200,18.2
FLEX,Stevie Johnson,Bills,Ravens,11200,18.2
WR,Earl Bennett,Bears,Lions,5000,5.2
FLEX,Earl Bennett,Bears,Lions,5000,5.2
WR,A.J. Green,Bengals,Browns,14500,20.6
FLEX,A.J. Green,Bengals,Browns,14500,20.6
WR,Jerome Simpson,Vikings,Steelers,5950,11.3
FLEX,Jerome Simpson,Vikings,Steelers,5950,11.3
WR,Greg Little,Browns,Bengals,7000,6.3
FLEX,Greg Little,Browns,Bengals,7000,6.3
WR,Miles Austin,Cowboys,Chargers,7650,9.2
FLEX,Miles Austin,Cowboys,Chargers,7650,9.2
WR,Dez Bryant,Cowboys,Chargers,15200,16.4
FLEX,Dez Bryant,Cowboys,Chargers,15200,16.4
WR,Kevin Ogletree,Buccaneers,Cardinals,5550,4.3
FLEX,Kevin Ogletree,Buccaneers,Cardinals,5550,4.3
WR,Eric Decker,Broncos,Eagles,9750,16.7
FLEX,Eric Decker,Broncos,Eagles,9750,16.7
WR,Eddie Royal,Chargers,Cowboys,7750,18.9
FLEX,Eddie Royal,Chargers,Cowboys,7750,18.9
WR,Demaryius Thomas,Broncos,Eagles,15250,20.9
FLEX,Demaryius Thomas,Broncos,Eagles,15250,20.9
WR,Nate Burleson,Lions,Bears,7550,14.0
FLEX,Nate Burleson,Lions,Bears,7550,14.0
WR,Calvin Johnson,Lions,Bears,18450,20.6
FLEX,Calvin Johnson,Lions,Bears,18450,20.6
WR,Greg Jennings,Vikings,Steelers,7450,9.0
FLEX,Greg Jennings,Vikings,Steelers,7450,9.0
WR,Kenny Britt,Titans,Jets,5800,3.1
FLEX,Kenny Britt,Titans,Jets,5800,3.1
WR,Nate Washington,Titans,Jets,6800,12.6
FLEX,Nate Washington,Titans,Jets,6800,12.6
WR,Pierre Garcon,Redskins,Raiders,13900,19.3
FLEX,Pierre Garcon,Redskins,Raiders,13900,19.3
WR,Reggie Wayne,Colts,Jaguars,12200,14.8
FLEX,Reggie Wayne,Colts,Jaguars,12200,14.8
WR,Dwayne Bowe,Chiefs,Giants,9050,8.0
FLEX,Dwayne Bowe,Chiefs,Giants,9050,8.0
WR,Jacoby Ford,Raiders,Redskins,5500,2.4
FLEX,Jacoby Ford,Raiders,Redskins,5500,2.4
WR,Darrius Heyward-Bey,Colts,Jaguars,6500,6.7
FLEX,Darrius Heyward-Bey,Colts,Jaguars,6500,6.7
WR,Denarius Moore,Raiders,Redskins,7800,13.2
FLEX,Denarius Moore,Raiders,Redskins,7800,13.2
WR,Danny Amendola,Patriots,Falcons,13450,20.4
FLEX,Danny Amendola,Patriots,Falcons,13450,20.4
WR,Donnie Avery,Chiefs,Giants,6500,12.1
FLEX,Donnie Avery,Chiefs,Giants,6500,12.1
WR,Brandon Gibson,Dolphins,Saints,5550,9.2
FLEX,Brandon Gibson,Dolphins,Saints,5550,9.2
WR,Davone Bess,Browns,Bengals,6300,10.7
FLEX,Davone Bess,Browns,Bengals,6300,10.7
WR,Brian Hartline,Dolphins,Saints,9200,17.9
FLEX,Brian Hartline,Dolphins,Saints,9200,17.9
WR,Brandon Marshall,Bears,Lions,15200,19.6
FLEX,Brandon Marshall,Bears,Lions,15200,19.6
WR,Stephen Burton,Jaguars,Colts,5550,4.2
FLEX,Stephen Burton,Jaguars,Colts,5550,4.2
WR,Julian Edelman,Patriots,Falcons,12200,19.8
FLEX,Julian Edelman,Patriots,Falcons,12200,19.8
WR,Wes Welker,Broncos,Eagles,13050,20.0
FLEX,Wes Welker,Broncos,Eagles,13050,20.0
